sample_id,park,coaster,country,face_price_text,usd_used,usd_1990,source_code,note
1,"Santa Cruz Beach Boardwalk","Giant Dipper","US","$8.00",8.00,3.12,"SC",""
2,"Santa Cruz Beach Boardwalk","Undertow","US","$8.00",8.00,3.12,"SC",""
3,"Santa Cruz Beach Boardwalk","Speed Bumps","US","$7.00",7.00,2.73,"SC",""
4,"Santa Cruz Beach Boardwalk","Cyclone","US","$7.00",7.00,2.73,"SC",""
5,"Bay Beach","Zippin Pippin","US","$1.50",1.50,0.59,"BB",""
6,"Playland's Castaway Cove","GaleForce","US","$10.00",10.00,3.90,"PCC",""
7,"Pacific Park Santa Monica","West Coaster","US","$20.00 gate / $14 online",20.00,7.80,"PP","Gate price used"
8,"Nickelodeon Universe Mall of America","SpongeBob Rock Bottom Plunge","US","6 pts = $8.49",8.49,3.31,"NU",""
9,"Nickelodeon Universe Mall of America","Pepsi Orange Streak","US","6 pts = $8.49",8.49,3.31,"NU",""
10,"Nickelodeon Universe Mall of America","Fairly Odd Coaster","US","6 pts = $8.49",8.49,3.31,"NU",""
11,"Fun Spot Orlando","White Lightning","US","$12.00",12.00,4.68,"FS",""
12,"Fun Spot Orlando","Freedom Flyer","US","$12.00",12.00,4.68,"FS",""
13,"Fun Spot Kissimmee","Mine Blower","US","$12.00",12.00,4.68,"FS",""
14,"Fun Spot Atlanta","ArieForce One","US","$12.00",12.00,4.68,"FS",""
15,"Luna Park Coney Island","Thunderbolt","US","~12 credits",12.00,4.68,"LP*","Approximate; credit-to-dollar conversion assumed near 1 credit = $1"
16,"Luna Park Coney Island","Cyclone","US","~10 credits",10.00,3.90,"LP*","Approximate; credit-to-dollar conversion assumed near 1 credit = $1"
17,"Luna Park Coney Island","Tony's Express","US","~8 credits",8.00,3.12,"LP*","Approximate; credit-to-dollar conversion assumed near 1 credit = $1"
18,"Luna Park Coney Island","Steeplechase","US","~8 credits",8.00,3.12,"LP*","Approximate; credit-to-dollar conversion assumed near 1 credit = $1"
19,"Luna Park Coney Island","The Tickler","US","~8 credits",8.00,3.12,"LP*","Approximate; credit-to-dollar conversion assumed near 1 credit = $1"
20,"Luna Park Coney Island","Soarin' Eagle","US","~8 credits",8.00,3.12,"LP*","Approximate; credit-to-dollar conversion assumed near 1 credit = $1"
21,"Luna Park Coney Island","Circus Coaster","US","~6 credits",6.00,2.34,"LP*","Approximate; credit-to-dollar conversion assumed near 1 credit = $1"
22,"Luna Park Coney Island","Mini Mouse / Circus Candy","US","~5 credits",5.00,1.95,"LP*","Approximate; credit-to-dollar conversion assumed near 1 credit = $1"
23,"New York-New York Las Vegas","Big Apple Coaster","US","$25.00",25.00,9.75,"LV",""
24,"Tokyo Dome City","Thunder Dolphin","Japan","¥1,800",11.07,4.32,"TD",""
25,"Yokohama Cosmo World","Diving Coaster Vanish","Japan","¥900",5.54,2.16,"YCW",""
26,"Yokohama Cosmo World","Spinning Coaster","Japan","¥700",4.31,1.68,"YCW",""
27,"Yokohama Cosmo World","Family Banana Coaster","Japan","¥400",2.46,0.96,"YCW",""
28,"Nagashima Spa Land","Hakugei","Japan","¥2,500",15.38,6.00,"NSL",""
29,"Nagashima Spa Land","Steel Dragon 2000","Japan","¥2,500",15.38,6.00,"NSL",""
30,"Nagashima Spa Land","ARASHI","Japan","¥2,000",12.30,4.80,"NSL",""
31,"Nagashima Spa Land","Acrobat","Japan","¥2,000",12.30,4.80,"NSL",""
32,"Nagashima Spa Land","Shuttle Loop","Japan","¥1,500",9.23,3.60,"NSL",""
33,"Nagashima Spa Land","Looping Star","Japan","¥1,000",6.15,2.40,"NSL",""
34,"Nagashima Spa Land","Ultra Twister","Japan","¥1,000",6.15,2.40,"NSL",""
35,"Nagashima Spa Land","Double Wild Mouse","Japan","¥800",4.92,1.92,"NSL",""
36,"Nagashima Spa Land","Corkscrew","Japan","¥800",4.92,1.92,"NSL",""
37,"Nagashima Spa Land","Jet Coaster","Japan","¥800",4.92,1.92,"NSL",""
38,"Nagashima Spa Land","Peter Rabbit Coaster","Japan","¥500",3.08,1.20,"NSL",""
39,"Nagashima Spa Land","Children Coaster","Japan","¥700",4.31,1.68,"NSL",""
40,"Tivoli Gardens","Demon","Denmark","DKK 95",14.49,5.65,"TG",""
41,"Tivoli Gardens","Milky Way Express","Denmark","DKK 95",14.49,5.65,"TG",""
42,"Tivoli Gardens","Rutschebanen / The Roller Coaster","Denmark","DKK 65",9.91,3.87,"TG",""
43,"Tivoli Gardens","Camel Trail","Denmark","DKK 55",8.39,3.27,"TG",""
44,"Wiener Prater","Wiener Looping","Austria","~€10.00",11.40,4.45,"PR*","Approximate; rider-reported 2026 price"
45,"Wiener Prater","Gesengte Sau","Austria","~€7.50",8.55,3.33,"PR*","Approximate; rider-reported 2026 price"
46,"Wiener Prater","Megablitz","Austria","~€5.00",5.70,2.22,"PR*","Approximate; rider-reported 2026 price"
47,"Wiener Prater","Boomerang","Austria","~€7.00",7.98,3.11,"PR*","Approximate; rider-reported 2026 price"
48,"Wiener Prater","Hochschaubahn","Austria","~€4.50",5.13,2.00,"PR*","Approximate; rider-reported 2026 price"
49,"Great Yarmouth Pleasure Beach","Wooden Roller Coaster","UK","5 credits ≈ £5",6.67,2.60,"GY",""
50,"Great Yarmouth Pleasure Beach","Family Star","UK","4 credits ≈ £4",5.33,2.08,"GY",""
51,"Great Yarmouth Pleasure Beach","Big Apple Coaster","UK","3 credits ≈ £3",4.00,1.56,"GY",""
52,"Great Yarmouth Pleasure Beach","Whirlwind","UK","3 credits ≈ £3",4.00,1.56,"GY",""
53,"Luna Park Melbourne","Scenic Railway","Australia","A$15 additional ride; A$30 entry+first ride",10.34,4.03,"LPM","Additional ride price used"
