function_name,calls,min_microseconds,max_microseconds,average_microseconds,total_microseconds
"void __cdecl OpenRCT2::Context::RunGameLoop(void)",0,0,0,0,0
"void __cdecl OpenRCT2::Context::RunFrame(void)",713,2.2,21041.4,6471.54193548,4614209.4
"void __cdecl OpenRCT2::Context::RunFixedFrame(bool,float)",0,0,0,0,0
"void __cdecl OpenRCT2::Context::RunVariableFrame(bool,float)",713,2.1,21040.2,6479.27952314,4619726.3
"void __cdecl OpenRCT2::Context::Draw(void)",713,1,3503.9,1165.70182328,831145.4
"void __cdecl OpenRCT2::Context::Tick(void)",1200,2511.8,4935.5,3036.14316667,3643371.8
"void __cdecl OpenRCT2::PeepUpdateAll(void)",1200,1154.6,2744.7,1493.51183333,1792214.2
"void __cdecl OpenRCT2::PeepUpdateCrowdNoise(void)",302,203.1,627.1,249.85397351,75455.9
"void __cdecl OpenRCT2::EntityRegistry::UpdateAllMiscEntities(void)",1200,15.4,116.3,23.484,28180.8
"void __cdecl OpenRCT2::EntityRegistry::UpdateEntitiesSpatialIndex(void)",1200,21,139.8,32.8091666667,39371
"void __cdecl OpenRCT2::gameStateInitAll(struct OpenRCT2::GameState_t &,const struct TileCoordsXY &)",0,0,0,0,0
"void __cdecl OpenRCT2::gameStateTick(void)",1200,2508.6,4928.7,3032.17041667,3638604.5
"void __cdecl OpenRCT2::gameStateCreateStateSnapshot(void)",0,0,0,0,0
"void __cdecl OpenRCT2::gameStateUpdateLogic(bool)",1200,2507,4923.3,3029.6865,3635623.8
"void __cdecl OpenRCT2::gameStateUpdatePresentationAudio(void)",713,392.3,840.4,196.451612903,140070
"void __cdecl ScenarioUpdate(struct OpenRCT2::GameState_t &)",1200,0.1,327.7,0.643583333333,772.3
"void __cdecl OpenRCT2::Paint::Painter::Paint(struct OpenRCT2::Drawing::IDrawingEngine &)",713,0.7,3399.1,1125.14431978,802227.9
"struct PaintSession *__cdecl OpenRCT2::Paint::Painter::CreateSession(struct OpenRCT2::Drawing::RenderTarget &,unsigned int,unsigned char)",15704,0,1.2,0.0954661232807,1499.2
"void __cdecl OpenRCT2::Paint::Painter::ReleaseSession(struct PaintSession *)",15704,0,9.6,0.0919765664799,1444.4
"void __cdecl OpenRCT2::Scripting::ScriptEngine::Tick(void)",1200,0.3,1.6,0.626166666667,751.4
"void __cdecl OpenRCT2::MapAnimations::InvalidateAndUpdateAll(void)",1200,12.5,61.1,14.43875,17326.5
"struct OpenRCT2::RideRating::LocalContextScore __cdecl RideRatingBuildLocalContextScore(const struct CoordsXYZ &,const struct RideRatingLocalContextQuery &)",3305,3.6,70.9,9.93515885023,32835.7
"void __cdecl OpenRCT2::RideRating::UpdateAll(void)",1200,5.1,177.5,16.2580833333,19509.7
"void __cdecl RideRatingAccumulateTrainTick(struct Ride &,const struct RideTypeDescriptor &,class std::span<struct Vehicle const * const,-1>,int,bool,class TIdentifier<unsigned char,255,struct StationIndexTag>)",514429,0.1,150.4,0.482173827681,248044.2
"void __cdecl VehicleUpdateAll(void)",1200,544,1112.5,674.485833333,809383
"void __cdecl Vehicle::UpdateMeasurements(void)",192075,0.2,111.2,0.127227905766,24437.3
"void __cdecl Vehicle::Update(void)",1164000,0.1,156.8,0.660686597938,769039.2
"void __cdecl Ride::updateAll(bool)",1200,676.5,1133.2,755.081,906097.2
"void __cdecl RideMeasurementsUpdate(void)",1200,1,6.1,2.06,2472
"void __cdecl OpenRCT2::News::UpdateCurrentItem(void)",1200,0.1,0.5,0.0385833333333,46.3
"bool __cdecl OpenRCT2::PathFinding::PathIsThinJunctionLive(struct OpenRCT2::PathElement *,const struct TileCoordsXYZ &)",0,0,0,0,0
"bool __cdecl OpenRCT2::PathFinding::PlanTransportRoute(struct OpenRCT2::Guest &,const struct TileCoordsXYZ &,bool,class TIdentifier<unsigned short,65535,struct RideIdTag>)",1965,0.2,79,5.92753180662,11647.6
