function_name,calls,min_microseconds,max_microseconds,average_microseconds,total_microseconds
"void __cdecl OpenRCT2::Context::RunGameLoop(void)",0,0,0,0,0
"void __cdecl OpenRCT2::Context::RunFrame(void)",782,2.1,22637.1,6444.15805627,5039331.6
"void __cdecl OpenRCT2::Context::RunFixedFrame(bool,float)",0,0,0,0,0
"void __cdecl OpenRCT2::Context::RunVariableFrame(bool,float)",782,2,22635.8,6452.42212276,5045794.1
"void __cdecl OpenRCT2::Context::Draw(void)",782,1,3307.6,1103.12877238,862646.7
"void __cdecl OpenRCT2::Context::Tick(void)",1200,2926.2,5334,3481.52791667,4177833.5
"void __cdecl OpenRCT2::PeepUpdateAll(void)",1200,1154.1,2676.5,1498.2215,1797865.8
"void __cdecl OpenRCT2::PeepUpdateCrowdNoise(void)",1200,192.8,713.3,238.604916667,286325.9
"void __cdecl OpenRCT2::EntityRegistry::UpdateAllMiscEntities(void)",1200,14.5,50.8,23.5921666667,28310.6
"void __cdecl OpenRCT2::EntityRegistry::UpdateEntitiesSpatialIndex(void)",1200,20.7,170.8,30.72075,36864.9
"void __cdecl OpenRCT2::gameStateInitAll(struct OpenRCT2::GameState_t &,const struct TileCoordsXY &)",0,0,0,0,0
"void __cdecl OpenRCT2::gameStateTick(void)",1200,2923.6,5324.4,3476.849,4172218.8
"void __cdecl OpenRCT2::gameStateCreateStateSnapshot(void)",0,0,0,0,0
"void __cdecl OpenRCT2::gameStateUpdateLogic(bool)",1200,2921.9,5320.6,3474.31083333,4169173
"void __cdecl ScenarioUpdate(struct OpenRCT2::GameState_t &)",1200,0.1,376.4,0.637333333333,764.8
"void __cdecl OpenRCT2::Paint::Painter::Paint(struct OpenRCT2::Drawing::IDrawingEngine &)",782,0.7,3214.5,1065.91304348,833544
"struct PaintSession *__cdecl OpenRCT2::Paint::Painter::CreateSession(struct OpenRCT2::Drawing::RenderTarget &,unsigned int,unsigned char)",15704,0.1,1.4,0.0991530820173,1557.1
"void __cdecl OpenRCT2::Paint::Painter::ReleaseSession(struct PaintSession *)",15704,0.1,0.7,0.0963385124809,1512.9
"void __cdecl OpenRCT2::Scripting::ScriptEngine::Tick(void)",1200,0.3,8,0.704416666667,845.3
"void __cdecl OpenRCT2::MapAnimations::InvalidateAndUpdateAll(void)",1200,12.7,105.9,14.5233333333,17428
"struct OpenRCT2::RideRating::LocalContextScore __cdecl RideRatingBuildLocalContextScore(const struct CoordsXYZ &,const struct RideRatingLocalContextQuery &)",3305,3.5,104.7,10.0953101362,33365
"void __cdecl OpenRCT2::RideRating::UpdateAll(void)",1200,3.7,46.7,16.1484166667,19378.1
"void __cdecl RideRatingAccumulateTrainTick(struct Ride &,const struct RideTypeDescriptor &,class std::span<struct Vehicle const * const,-1>,int,bool,class TIdentifier<unsigned char,255,struct StationIndexTag>)",514429,0.1,139,0.489632194141,251881
"void __cdecl VehicleUpdateAll(void)",1200,539,1101.3,669.978083333,803973.7
"void __cdecl Vehicle::UpdateMeasurements(void)",192075,0.1,70.1,0.128511258623,24683.8
"void __cdecl Vehicle::Update(void)",1164000,0.1,181.4,0.65752242268,765356.1
"void __cdecl Ride::updateAll(bool)",1200,676.5,1206.6,756.533083333,907839.7
"void __cdecl RideMeasurementsUpdate(void)",1200,1.1,40.2,2.10425,2525.1
"void __cdecl OpenRCT2::News::UpdateCurrentItem(void)",1200,0,0.3,0.0394166666667,47.3
"bool __cdecl OpenRCT2::PathFinding::PathIsThinJunctionLive(struct OpenRCT2::PathElement *,const struct TileCoordsXYZ &)",0,0,0,0,0
"bool __cdecl OpenRCT2::PathFinding::PlanTransportRoute(struct OpenRCT2::Guest &,const struct TileCoordsXYZ &,bool,class TIdentifier<unsigned short,65535,struct RideIdTag>)",1965,0.2,132.8,5.99368956743,11777.6
"unsigned char __cdecl OpenRCT2::PathFinding::ChooseDirection(const struct TileCoordsXYZ &,const struct TileCoordsXYZ &,struct OpenRCT2::Peep &,bool,class TIdentifier<unsigned short,65535,struct RideIdTag>)",29266,0.1,658.4,3.22535706964,94393.3
"void __cdecl OpenRCT2::MapUpdatePathWideFlags(void)",1200,0.3,69.8,6.19058333333,7428.7
"void __cdecl OpenRCT2::MapUpdateTiles(void)",1200,3.9,64.2,6.43541666667,7722.5
"void __cdecl OpenRCT2::Park::Update(struct OpenRCT2::Park::ParkData &,struct OpenRCT2::GameState_t &)",1200,0.2,104.2,1.24666666667,1496
"void __cdecl OpenRCT2::ViewportFillColumn(struct PaintSession &)",15704,162.5,1743.1,592.967352267,9311959.3
"void __cdecl OpenRCT2::ViewportPaintColumn(struct PaintSession &)",15704,10.5,232.7,18.2526999491,286640.4
"void __cdecl OpenRCT2::ViewportPaint(const struct OpenRCT2::Viewport *,struct OpenRCT2::Drawing::RenderTarget &)",302,2482.9,3170.4,2715.6589404,820129
"bool __cdecl OpenRCT2::IsSpriteInteractedWithPaletteSet(struct OpenRCT2::Drawing::RenderTarget &,struct ImageId,const struct ScreenCoordsXY &,const struct OpenRCT2::Drawing::PaletteMap &,const unsigned char)",0,0,0,0,0
"bool __cdecl OpenRCT2::IsSpriteInteractedWith(struct OpenRCT2::Drawing::RenderTarget &,struct ImageId,const struct ScreenCoordsXY &)",0,0,0,0,0
"struct OpenRCT2::InteractionInfo __cdecl OpenRCT2::SetInteractionInfoFromPaintSession(struct PaintSession *,unsigned int,unsigned short)",0,0,0,0,0
